circuit_id,variant_id,is_latest,intercept,is_lap_one_coef,lap_fraction_coef,incidents_so_far_coef
,,False,-3.7716030558372897,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
albert_park,albert_park_v0,False,-3.8916485121360593,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
albert_park,albert_park_v1,True,-3.320459340175603,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
americas,americas_v0,True,-3.9235904404133004,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
bahrain,bahrain_v0,True,-3.8368321121571993,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
bahrain,bahrain_v1,False,-3.6862662446740795,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
baku,baku_v0,True,-3.6842884230126556,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
catalunya,catalunya_v0,False,-3.9601706305709583,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
catalunya,catalunya_v1,True,-3.949203545980768,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
hockenheimring,hockenheimring_v0,True,-3.4927448947014312,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
hungaroring,hungaroring_v0,True,-4.120145331388494,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
imola,imola_v0,True,-3.7751344318938314,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
interlagos,interlagos_v0,True,-3.6718593872810943,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
istanbul,istanbul_v0,True,-3.8910957084871844,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
jeddah,jeddah_v0,True,-3.532021320776092,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
losail,losail_v0,False,-3.797722083647605,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
losail,losail_v1,True,-3.698119236114363,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
marina_bay,marina_bay_v0,False,-3.4615739074908625,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
marina_bay,marina_bay_v1,True,-3.917827404363891,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
miami,miami_v0,True,-3.742873891070898,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
monaco,monaco_v0,True,-3.9583180885176366,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
monza,monza_v0,True,-3.7475829845567628,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
mugello,mugello_v0,True,-3.6406845615618173,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
nurburgring,nurburgring_v0,True,-3.722456631281318,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
portimao,portimao_v0,True,-3.910141918345663,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
red_bull_ring,red_bull_ring_v0,True,-3.923816784555001,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
ricard,ricard_v0,True,-3.7678580530758,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
rodriguez,rodriguez_v0,True,-3.7659795545316364,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
shanghai,shanghai_v0,True,-3.85264875175374,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
silverstone,silverstone_v0,True,-3.641199622824706,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
sochi,sochi_v0,True,-3.7654559947987343,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
spa,spa_v0,True,-3.7894290821292667,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
suzuka,suzuka_v0,True,-3.883327098703423,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
vegas,vegas_v0,True,-3.6690368690420754,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
villeneuve,villeneuve_v0,True,-3.7133247532243967,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
yas_marina,yas_marina_v0,False,-3.823327512733119,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
yas_marina,yas_marina_v1,True,-3.9833356415591368,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
zandvoort,zandvoort_v0,True,-3.7185169041361443,2.5133339685016187,-0.33030837684553593,-0.03765047817630321
