season,round,driver,circuit_id,era,race_length,actual_cost_seconds,policy_cost_seconds,oracle_cost_seconds,actual_regret_seconds,policy_regret_seconds
2018,20,RAI,interlagos,2018-2021 aero,71,77.361,74.931,74.931,2.430000000000007,0.0
2019,1,BOT,albert_park,2018-2021 aero,58,36.01699999999999,31.35699999999999,31.35699999999999,4.66,0.0
2019,1,HAM,albert_park,2018-2021 aero,58,47.04699999999999,31.35699999999999,31.35699999999999,15.690000000000001,0.0
2019,1,LEC,albert_park,2018-2021 aero,58,54.79699999999998,31.35699999999999,31.35699999999999,23.439999999999994,0.0
2019,1,MAG,albert_park,2018-2021 aero,58,48.89699999999999,31.35699999999999,31.35699999999999,17.540000000000003,0.0
2019,1,VER,albert_park,2018-2021 aero,58,34.28699999999999,31.35699999999999,31.35699999999999,2.9300000000000033,0.0
2019,1,VET,albert_park,2018-2021 aero,58,48.89699999999999,31.35699999999999,31.35699999999999,17.540000000000003,0.0
2019,3,BOT,shanghai,2018-2021 aero,56,95.33600000000003,36.16800000000001,36.09800000000001,59.238000000000014,0.07000000000000028
2019,3,HAM,shanghai,2018-2021 aero,56,96.09600000000003,36.16800000000001,36.09800000000001,59.99800000000002,0.07000000000000028
2019,3,LEC,shanghai,2018-2021 aero,56,95.99600000000004,36.16800000000001,36.09800000000001,59.898000000000025,0.07000000000000028
2019,3,VER,shanghai,2018-2021 aero,56,95.11600000000003,36.16800000000001,36.09800000000001,59.018000000000015,0.07000000000000028
2019,3,VET,shanghai,2018-2021 aero,56,94.66600000000003,36.16800000000001,36.09800000000001,58.56800000000001,0.07000000000000028
2019,4,BOT,baku,2018-2021 aero,51,25.965999999999983,23.695999999999984,7.108799999999995,18.857199999999988,16.58719999999999
2019,4,HAM,baku,2018-2021 aero,51,25.545999999999985,23.695999999999984,7.108799999999995,18.43719999999999,16.58719999999999
2019,4,PER,baku,2018-2021 aero,51,26.965999999999983,23.695999999999984,7.108799999999995,19.857199999999988,16.58719999999999
2019,4,SAI,baku,2018-2021 aero,51,25.965999999999983,23.695999999999984,7.108799999999995,18.857199999999988,16.58719999999999
2019,4,STR,baku,2018-2021 aero,51,26.965999999999983,23.695999999999984,7.108799999999995,19.857199999999988,16.58719999999999
2019,4,VER,baku,2018-2021 aero,51,25.165999999999983,23.695999999999984,7.108799999999995,18.057199999999987,16.58719999999999
2019,4,VET,baku,2018-2021 aero,51,26.435999999999986,23.695999999999984,7.108799999999995,19.32719999999999,16.58719999999999
2019,6,ALB,monaco,2018-2021 aero,78,58.961999999999996,58.992,55.85659999999999,3.105400000000003,3.135400000000004
2019,6,GRO,monaco,2018-2021 aero,78,66.852,58.992,55.85659999999999,10.99540000000001,3.135400000000004
2019,6,HAM,monaco,2018-2021 aero,78,107.9746,58.992,55.85659999999999,52.118,3.135400000000004
2019,6,KVY,monaco,2018-2021 aero,78,63.312,58.992,55.85659999999999,7.4554000000000045,3.135400000000004
2019,6,RIC,monaco,2018-2021 aero,78,107.9746,58.992,55.85659999999999,52.118,3.135400000000004
2019,6,SAI,monaco,2018-2021 aero,78,65.912,58.992,55.85659999999999,10.055400000000013,3.135400000000004
2019,6,VER,monaco,2018-2021 aero,78,110.3946,58.992,55.85659999999999,54.538000000000004,3.135400000000004
2019,6,VET,monaco,2018-2021 aero,78,110.3946,58.992,55.85659999999999,54.538000000000004,3.135400000000004
2019,7,HAM,villeneuve,2018-2021 aero,70,66.71499999999999,62.339999999999975,61.81999999999998,4.89500000000001,0.519999999999996
2019,7,LEC,villeneuve,2018-2021 aero,70,63.39499999999999,62.339999999999975,61.81999999999998,1.57500000000001,0.519999999999996
2019,7,VET,villeneuve,2018-2021 aero,70,68.91499999999999,62.339999999999975,61.81999999999998,7.095000000000013,0.519999999999996
