era,compound,scope,circuit_id,n_obs,r_squared,tyre_life_coef,tyre_life_squared_coef,tyre_life_pvalue
2018-2021 aero,HARD,pooled,,20840,0.9841155496530294,0.03418589547147927,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,albert_park,247,0.9841155496530294,0.06464155233144908,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,americas,1014,0.9841155496530294,0.08985700299818239,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,bahrain,1084,0.9841155496530294,0.08726153983002893,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,baku,464,0.9841155496530294,0.020331440471546905,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,catalunya,102,0.9841155496530294,0.05277384079794124,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,hungaroring,1575,0.9841155496530294,0.046331998348191364,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,imola,383,0.9841155496530294,0.020133308109885256,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,interlagos,749,0.9841155496530294,0.062342373918333596,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,jeddah,233,0.9841155496530294,-0.1999188851774512,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,losail,332,0.9841155496530294,0.01196307796170595,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,marina_bay,445,0.9841155496530294,0.023351757950055424,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,monaco,766,0.9841155496530294,0.03169307745930006,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,monza,530,0.9841155496530294,0.005254522825156472,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,mugello,81,0.9841155496530294,0.06442926695676786,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,nurburgring,81,0.9841155496530294,0.0565634759739365,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,portimao,765,0.9841155496530294,0.028466929712150077,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,red_bull_ring,2535,0.9841155496530294,0.059948613208933854,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,ricard,1143,0.9841155496530294,0.024441399200807408,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,rodriguez,1430,0.9841155496530294,0.034105553245046646,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,shanghai,399,0.9841155496530294,0.08448291824454368,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,silverstone,1964,0.9841155496530294,-0.0007375734035018622,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,sochi,1084,0.9841155496530294,0.015435428553960129,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,spa,322,0.9841155496530294,0.035838935436986616,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,suzuka,167,0.9841155496530294,0.0769977881998508,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,villeneuve,833,0.9841155496530294,0.0328505783637306,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,yas_marina,1687,0.9841155496530294,0.022105839504094234,0.000331019751287896,0.001969021580260476
2018-2021 aero,HARD,circuit,zandvoort,425,0.9841155496530294,0.07207341671139,0.000331019751287896,0.001969021580260476
2018-2021 aero,HYPERSOFT,pooled,,578,0.9924909258989745,0.11528266186079851,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,marina_bay,213,0.9924909258989745,0.0854948524078736,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,monaco,158,0.9924909258989745,0.19036591838863653,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,rodriguez,52,0.9924909258989745,0.24956896308900317,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,sochi,43,0.9924909258989745,-0.01024058659041345,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,villeneuve,87,0.9924909258989745,0.07511882952263035,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,HYPERSOFT,circuit,yas_marina,25,0.9924909258989745,0.10138799435223125,-0.0014813974439445833,0.03588908052844955
2018-2021 aero,INTERMEDIATE,pooled,,2429,0.9257293036284994,-0.05849362512849606,0.005098788928905694,0.819367990487684
2018-2021 aero,INTERMEDIATE,circuit,hockenheimring,400,0.9257293036284994,-0.10515011455143738,0.005098788928905694,0.819367990487684
2018-2021 aero,INTERMEDIATE,circuit,hungaroring,21,0.9257293036284994,0.3085017767439946,0.005098788928905694,0.819367990487684
2018-2021 aero,INTERMEDIATE,circuit,imola,314,0.9257293036284994,-0.5457407461105865,0.005098788928905694,0.819367990487684
2018-2021 aero,INTERMEDIATE,circuit,istanbul,1663,0.9257293036284994,-0.18679716771317678,0.005098788928905694,0.819367990487684
2018-2021 aero,INTERMEDIATE,circuit,sochi,31,0.9257293036284994,0.23671812604994738,0.005098788928905694,0.819367990487684
2018-2021 aero,MEDIUM,pooled,,22128,0.9844703971373909,0.001529374465775797,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,albert_park,443,0.9844703971373909,-0.0019104965870305544,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,americas,555,0.9844703971373909,0.050212538088744305,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,bahrain,1964,0.9844703971373909,0.052838213769601544,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,baku,629,0.9844703971373909,-0.030173759069971,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,catalunya,1764,0.9844703971373909,0.028878398293890738,0.0010316926475854812,0.894905339962895
2018-2021 aero,MEDIUM,circuit,hockenheimring,151,0.9844703971373909,0.15089392969467955,0.0010316926475854812,0.894905339962895
